time,open,high,low,close,tick_volume,spread,real_volume
2025-06-27 01:20:00,144.496,144.522,144.468,144.473,299,0,0
2025-06-27 01:30:00,144.474,144.657,144.472,144.652,405,0,0
2025-06-27 01:40:00,144.651,144.661,144.616,144.618,248,2,0
2025-06-27 01:50:00,144.62,144.625,144.572,144.574,146,2,0
2025-06-27 02:00:00,144.573,144.586,144.508,144.532,213,1,0
2025-06-27 02:10:00,144.532,144.541,144.451,144.457,268,2,0
2025-06-27 02:20:00,144.458,144.46,144.389,144.416,405,1,0
2025-06-27 02:30:00,144.424,144.679,144.424,144.485,729,0,0
2025-06-27 02:40:00,144.485,144.604,144.457,144.572,479,0,0
2025-06-27 02:50:00,144.576,144.741,144.576,144.678,848,0,0
2025-06-27 03:00:00,144.667,144.751,144.587,144.589,1513,0,0
2025-06-27 03:10:00,144.589,144.68,144.538,144.673,1301,0,0
2025-06-27 03:20:00,144.673,144.732,144.661,144.716,672,0,0
2025-06-27 03:30:00,144.714,144.81,144.699,144.786,1039,0,0
2025-06-27 03:40:00,144.786,144.788,144.701,144.715,784,0,0
2025-06-27 03:50:00,144.715,144.747,144.52,144.65,1566,0,0
2025-06-27 04:00:00,144.652,144.72,144.621,144.693,794,0,0
2025-06-27 04:10:00,144.693,144.74,144.577,144.615,791,0,0
2025-06-27 04:20:00,144.616,144.685,144.561,144.575,842,0,0
2025-06-27 04:30:00,144.574,144.619,144.51,144.591,1203,0,0
2025-06-27 04:40:00,144.591,144.594,144.41,144.415,890,0,0
2025-06-27 04:50:00,144.417,144.418,144.274,144.284,1069,0,0
2025-06-27 05:00:00,144.284,144.346,144.194,144.271,719,0,0
2025-06-27 05:10:00,144.271,144.336,144.254,144.28,706,0,0
2025-06-27 05:20:00,144.281,144.38,144.237,144.361,727,1,0
2025-06-27 05:30:00,144.361,144.393,144.281,144.31,852,0,0
2025-06-27 05:40:00,144.311,144.355,144.273,144.337,774,0,0
2025-06-27 05:50:00,144.337,144.365,144.274,144.324,492,0,0
2025-06-27 06:00:00,144.324,144.355,144.276,144.294,551,0,0
2025-06-27 06:10:00,144.294,144.328,144.252,144.274,428,0,0
2025-06-27 06:20:00,144.274,144.34,144.27,144.314,523,0,0
2025-06-27 06:30:00,144.314,144.376,144.295,144.367,439,0,0
2025-06-27 06:40:00,144.368,144.415,144.355,144.385,355,0,0
2025-06-27 06:50:00,144.385,144.502,144.381,144.455,835,0,0
2025-06-27 07:00:00,144.453,144.478,144.409,144.419,485,0,0
2025-06-27 07:10:00,144.419,144.469,144.409,144.464,535,0,0
2025-06-27 07:20:00,144.463,144.502,144.459,144.498,406,1,0
2025-06-27 07:30:00,144.498,144.544,144.49,144.503,382,0,0
2025-06-27 07:40:00,144.503,144.565,144.463,144.564,542,0,0
2025-06-27 07:50:00,144.568,144.589,144.518,144.542,845,1,0
2025-06-27 08:00:00,144.536,144.574,144.509,144.528,459,0,0
2025-06-27 08:10:00,144.528,144.589,144.506,144.542,431,0,0
2025-06-27 08:20:00,144.542,144.543,144.483,144.488,354,0,0
2025-06-27 08:30:00,144.487,144.527,144.397,144.407,516,1,0
2025-06-27 08:40:00,144.407,144.47,144.402,144.442,436,0,0
2025-06-27 08:50:00,144.443,144.46,144.359,144.423,550,0,0
2025-06-27 09:00:00,144.421,144.502,144.372,144.487,658,0,0
